"","year","month","day","avg.max.temp"
"562",1980,7,15,298.781291349642
"563",1980,7,16,298.986491466704
"564",1980,7,17,299.058938525972
"565",1980,7,18,298.858400259612
"566",1980,7,19,298.690902452853
"567",1980,7,20,298.543617600661
"568",1980,7,21,298.585271400759
"569",1980,7,22,298.574616076571
"570",1980,7,23,298.695301992116
"571",1980,7,24,298.918490684425
"572",1980,7,25,298.775436624939
"573",1980,7,26,298.297189353412
"574",1980,7,27,298.585106851766
"575",1980,7,28,299.011440257537
"576",1980,7,29,299.409074468927
"577",1980,7,30,299.311974203368
"578",1980,7,31,299.423992081527
"579",1980,8,1,299.452926713992
"580",1980,8,2,299.140351286389
"581",1980,8,3,298.765499967358
"582",1980,8,4,298.311994771992
"583",1980,8,5,298.289667508192
"584",1980,8,6,298.605946428348
"585",1980,8,7,298.75439772833
"586",1980,8,8,298.749900007423
"587",1980,8,9,298.56001587473
"588",1980,8,10,298.276910283015
"589",1980,8,11,298.194286455427
"590",1980,8,12,297.923703947521
"591",1980,8,13,297.664613962697
"592",1980,8,14,297.512357444903
"593",1980,8,15,297.218695213681
"594",1980,8,16,297.197437071189
"595",1980,8,17,297.277713705769
"596",1980,8,18,297.641333700886
"597",1980,8,19,297.922163743239
"598",1980,8,20,298.128925186548
"599",1980,8,21,298.026523391668
"600",1980,8,22,297.884082646073
"601",1980,8,23,297.880476748288
"602",1980,8,24,297.957148172567
"603",1980,8,25,298.023760544773
"604",1980,8,26,297.609551029415
"605",1980,8,27,297.294411432175
"606",1980,8,28,297.068373420911
"607",1980,8,29,297.28045294346
"608",1980,8,30,297.38730700706
"609",1980,8,31,296.912874186869
"610",1980,9,1,296.813805492806
"611",1980,9,2,296.884862521105
"612",1980,9,3,296.778646995908
"613",1980,9,4,296.893920199775
"614",1980,9,5,297.286217479217
"615",1980,9,6,297.619956875197
"616",1980,9,7,297.430026440743
"617",1980,9,8,296.913162091713
"618",1980,9,9,296.532429945949
"619",1980,9,10,296.028005981445
"620",1980,9,11,295.843244101276
"621",1980,9,12,295.771123708648
"622",1980,9,13,295.544682306422
"623",1980,9,14,295.475490405184
"624",1980,9,15,295.570551140754
"625",1980,9,16,295.693645055303
"626",1980,9,17,295.588626540188
"627",1980,9,18,295.134770046136
"628",1980,9,19,295.235891086453
"629",1980,9,20,295.064330590776
"630",1980,9,21,294.925708555564
"631",1980,9,22,294.754741039905
"632",1980,9,23,294.220071539687
"633",1980,9,24,293.492741025149
"634",1980,9,25,293.397413730272
"635",1980,9,26,293.687078963619
"636",1980,9,27,293.425953584888
"637",1980,9,28,293.503273340023
"638",1980,9,29,294.136384688716
"639",1980,9,30,294.671614924281
"640",1980,10,1,294.783405876858
"641",1980,10,2,294.572082178584
"642",1980,10,3,294.003025353959
"643",1980,10,4,293.788534344684
"644",1980,10,5,293.995225675813
"645",1980,10,6,294.281945772835
"646",1980,10,7,294.643987293732
"647",1980,10,8,294.786500141297
"648",1980,10,9,294.034261140369
"649",1980,10,10,293.127871161939
"650",1980,10,11,292.535097009009
"651",1980,10,12,292.079826030801
"652",1980,10,13,291.322145991622
"653",1980,10,14,290.603049197913
"654",1980,10,15,290.524046409523
"655",1980,10,16,290.549319826902
"656",1980,10,17,291.174682203579
"657",1980,10,18,291.510971689748
"658",1980,10,19,291.459227067996
"659",1980,10,20,290.883693915846
"660",1980,10,21,290.322274366665
"661",1980,10,22,290.174425844744
"662",1980,10,23,290.151254959945
"663",1980,10,24,289.81917503832
"664",1980,10,25,289.616377884302
"665",1980,10,26,289.217323577098
"666",1980,10,27,288.508836029388
"667",1980,10,28,288.665659860464
"668",1980,10,29,288.882396711971
"669",1980,10,30,289.051161663349
"670",1980,10,31,289.596195995065
"671",1980,11,1,289.668197872176
"672",1980,11,2,289.628198309259
"673",1980,11,3,289.910412944193
"674",1980,11,4,290.74196504027
"675",1980,11,5,290.689374662406
"676",1980,11,6,290.190727915781
"677",1980,11,7,289.718851306063
"678",1980,11,8,289.665687236856
"679",1980,11,9,289.244795612712
"680",1980,11,10,288.78193798135
"681",1980,11,11,287.975446512411
"682",1980,11,12,287.403666396368
"683",1980,11,13,287.560443718879
"684",1980,11,14,287.249673640772
"685",1980,11,15,286.316155782287
"686",1980,11,16,285.654108957144
"687",1980,11,17,285.216195348942
"688",1980,11,18,285.64938020252
"689",1980,11,19,285.785966653789
"690",1980,11,20,285.572535319905
"691",1980,11,21,286.186995308565
"692",1980,11,22,286.821783933535
